Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,569.520020,571.280029,555.500000,558.869995,555.812744,866300
2021-03-24,587.179993,594.469971,578.000000,578.580017,575.414917,2121400
2021-03-25,570.909973,585.840027,569.090027,584.000000,580.805298,1088900
2021-03-26,588.690002,627.299988,588.690002,625.669983,622.247253,1933600
2021-03-29,614.760010,616.859985,601.440002,608.000000,604.673950,1214900
2021-03-30,599.919983,606.260010,595.520020,601.289978,598.000671,1071600
2021-03-31,606.159973,620.940002,605.200012,617.359985,613.982788,1579600
2021-04-01,619.799988,639.489990,619.750000,637.099976,633.614746,1908300
2021-04-05,651.650024,653.000000,638.030029,640.489990,636.986267,1529800
2021-04-06,633.409973,635.750000,618.380005,628.000000,624.564575,1281900
2021-04-07,627.159973,631.400024,622.190002,626.559998,623.132446,820600
2021-04-08,635.960022,641.590027,632.750000,639.880005,636.379639,865900
2021-04-09,634.340027,638.710022,628.549988,634.320007,630.849976,631100
2021-04-12,631.559998,631.580017,620.619995,630.429993,626.981262,739500
2021-04-13,635.630005,636.739990,623.719971,629.119995,625.678406,710500
2021-04-14,635.669983,641.090027,627.039978,630.989990,627.538208,718000
2021-04-15,633.780029,642.900024,627.520020,642.090027,638.577515,980400
2021-04-16,640.260010,647.940002,638.479980,645.690002,642.157776,605200
2021-04-19,637.640015,639.260010,622.450012,630.109985,626.662964,1138900
2021-04-20,626.030029,627.789978,612.780029,616.940002,613.565063,988000
2021-04-21,637.719971,655.840027,635.929993,655.489990,651.904175,2160900
2021-04-22,664.169983,665.869995,640.479980,647.090027,643.550171,1233400
2021-04-23,659.219971,671.280029,658.369995,670.909973,667.239807,1109600
2021-04-26,666.960022,675.650024,666.960022,670.440002,666.772400,801000
2021-04-27,670.330017,674.840027,661.789978,672.809998,669.129456,678200
2021-04-28,664.450012,670.859985,661.280029,665.340027,661.700317,571300
2021-04-29,666.289978,666.630005,654.059998,662.479980,658.855896,504300
2021-04-30,654.270020,661.049988,645.700012,648.099976,644.554565,575200
2021-05-03,657.710022,658.080017,647.710022,654.429993,652.733032,672000
2021-05-04,635.669983,639.229980,615.909973,629.000000,627.368958,1505800
2021-05-05,642.000000,651.979980,635.820007,641.880005,640.215576,948200
2021-05-06,638.330017,644.640015,629.929993,644.340027,642.669250,618200
2021-05-07,651.780029,661.289978,647.710022,658.570007,656.862305,573700
2021-05-10,648.299988,648.640015,626.520020,627.260010,625.633484,882700
2021-05-11,616.119995,633.659973,614.609985,630.659973,629.024658,891200
2021-05-12,615.000000,619.710022,600.260010,601.880005,600.319336,1107700
2021-05-13,621.640015,628.750000,611.809998,623.090027,621.474304,1436100
2021-05-14,630.140015,651.140015,625.409973,647.760010,646.080322,1331000
2021-05-17,631.890015,636.080017,623.299988,635.349976,633.702515,929400
2021-05-18,641.400024,643.760010,631.609985,632.190002,630.550720,644700
2021-05-19,608.010010,630.979980,606.640015,630.780029,629.144409,1049600
2021-05-20,632.690002,652.250000,631.750000,648.770020,647.087708,1086900
2021-05-21,645.859985,647.359985,636.179993,639.219971,637.562439,847500
2021-05-24,647.500000,662.260010,645.760010,658.950012,657.241333,794000
2021-05-25,671.169983,679.440002,667.280029,672.289978,670.546692,1088800
2021-05-26,667.219971,669.539978,659.859985,665.770020,664.043640,597100
2021-05-27,661.000000,667.859985,658.929993,665.090027,663.365417,652600
2021-05-28,669.030029,675.979980,666.940002,675.469971,673.718445,610700
2021-06-01,684.739990,688.090027,668.520020,671.799988,670.057983,1292000
2021-06-02,670.520020,678.729980,668.770020,674.090027,672.342102,596800
2021-06-03,667.349976,670.409973,660.109985,665.890015,664.163330,612100
2021-06-04,674.809998,684.020020,673.090027,683.299988,681.528137,531000
2021-06-07,680.179993,684.409973,676.479980,681.979980,680.211609,594300
2021-06-08,690.669983,692.119995,676.549988,680.729980,678.964844,562800
2021-06-09,685.000000,688.059998,680.809998,682.590027,680.820068,440700
2021-06-10,689.359985,704.780029,686.559998,699.940002,698.125000,800100
2021-06-11,698.200012,698.940002,691.349976,697.030029,695.222595,445100
2021-06-14,699.510010,709.630005,695.539978,709.330017,707.490723,636600
2021-06-15,707.599976,710.969971,696.869995,701.780029,699.960266,510700
2021-06-16,706.049988,709.969971,693.700012,699.049988,697.237305,590900
2021-06-17,691.359985,704.530029,691.099976,698.830017,697.017944,746700
2021-06-18,685.349976,687.200012,668.570007,671.070007,669.329895,1669900
2021-06-21,678.500000,681.950012,672.400024,680.650024,678.885071,565500
2021-06-22,680.489990,687.570007,676.260010,685.809998,684.031677,542200
2021-06-23,686.530029,689.229980,679.549988,681.650024,679.882507,523400
2021-06-24,691.669983,697.960022,690.669983,695.000000,693.197815,469400
2021-06-25,693.929993,695.559998,685.969971,686.210022,684.430664,431200
2021-06-28,698.929993,705.799988,698.669983,704.109985,702.284180,623900
2021-06-29,699.950012,705.270020,698.200012,703.679993,701.855347,400000
2021-06-30,694.599976,696.570007,686.590027,690.840027,689.048645,767500
2021-07-01,687.239990,691.679993,674.530029,679.309998,677.548523,997500
2021-07-02,688.489990,689.869995,683.700012,687.539978,685.757141,449700
2021-07-06,689.440002,693.549988,676.700012,685.869995,684.091492,788700
2021-07-07,694.039978,695.719971,684.369995,690.179993,688.390320,442900
2021-07-08,670.979980,675.599976,664.830017,673.690002,671.943115,849400
2021-07-09,683.969971,693.000000,678.929993,691.359985,689.567261,583600
2021-07-12,700.000000,708.510010,699.169983,707.809998,705.974609,618500
2021-07-13,706.250000,710.659973,703.599976,706.419983,704.588196,623300
2021-07-14,719.979980,723.010010,712.880005,716.510010,714.652100,852000
2021-07-15,712.570007,713.270020,696.840027,703.940002,702.114685,729400
2021-07-16,702.880005,706.989990,686.869995,687.419983,685.637451,578300
2021-07-19,673.849976,684.320007,671.590027,684.000000,682.226379,855300
2021-07-20,676.859985,688.659973,672.929993,684.049988,682.276245,805600
2021-07-21,705.940002,721.090027,700.690002,721.000000,719.130432,1281300
2021-07-22,733.000000,740.059998,724.200012,729.919983,728.027283,946000
2021-07-23,747.789978,756.780029,743.090027,748.140015,746.200073,1069800
2021-07-26,758.200012,759.000000,748.380005,754.090027,752.134644,691800
2021-07-27,751.169983,752.150024,733.059998,745.599976,743.666626,881200
2021-07-28,750.000000,761.039978,745.400024,759.859985,757.889648,716500
2021-07-29,761.630005,767.890015,759.859985,765.710022,763.724487,634000
2021-07-30,760.770020,768.700012,756.789978,766.739990,764.751831,488200
2021-08-02,770.809998,775.840027,768.409973,769.650024,767.654297,499900
2021-08-03,770.530029,780.450012,767.510010,779.530029,777.508667,533700
2021-08-04,792.010010,798.570007,787.799988,795.479980,793.417297,629700
2021-08-05,805.510010,805.640015,790.320007,794.750000,792.689209,723700
2021-08-06,784.500000,787.190002,779.900024,783.280029,781.248962,556900
2021-08-09,790.219971,792.250000,785.599976,788.679993,786.634888,477100
2021-08-10,795.590027,797.039978,783.830017,789.289978,787.243347,589500
2021-08-11,791.140015,793.340027,781.419983,789.219971,787.173462,421300
2021-08-12,788.700012,788.700012,778.530029,781.070007,779.044678,764600
2021-08-13,779.140015,789.590027,776.539978,788.960022,786.914246,454700
2021-08-16,787.830017,790.969971,779.739990,787.349976,785.308350,426000
2021-08-17,781.760010,783.390015,770.400024,776.559998,774.546326,483600
2021-08-18,776.219971,785.380005,772.030029,772.450012,770.447021,452500
2021-08-19,761.869995,784.010010,761.210022,781.510010,779.483521,514000
2021-08-20,785.080017,790.880005,778.010010,788.179993,786.136230,507700
2021-08-23,795.030029,812.500000,794.570007,811.619995,809.515442,724300
2021-08-24,806.099976,807.710022,801.580017,805.609985,803.520996,453800
2021-08-25,808.419983,813.369995,805.000000,807.869995,805.775146,471100
2021-08-26,808.270020,815.830017,804.159973,810.940002,808.837219,450000
2021-08-27,814.250000,834.770020,813.770020,832.919983,830.760193,658900
