Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,439.329987,442.239990,421.239990,425.220001,410.183716,2417100
2021-01-05,425.049988,429.390015,422.399994,428.100006,412.961853,1506900
2021-01-06,423.299988,434.579987,420.540009,425.459991,410.415222,1722600
2021-01-07,432.059998,444.589996,430.600006,443.390015,427.711212,2126700
2021-01-08,447.000000,449.989990,438.649994,445.640015,429.881653,1527100
2021-01-11,440.609985,448.779999,440.420013,445.760010,429.997375,1166000
2021-01-12,447.769989,454.760010,445.600006,449.390015,433.498993,1384600
2021-01-13,450.299988,453.489990,448.109985,451.209991,435.254639,1311800
2021-01-14,453.510010,458.500000,451.329987,452.070007,436.084259,1969200
2021-01-15,448.179993,450.000000,440.660004,445.850006,430.084198,1816500
2021-01-19,448.279999,459.489990,448.279999,459.269989,443.029663,1881900
2021-01-20,459.519989,465.790009,455.000000,461.880005,445.547363,1471000
2021-01-21,462.109985,469.470001,460.399994,466.820007,450.312683,1574900
2021-01-22,463.720001,467.549988,462.380005,465.019989,448.576324,1624800
2021-01-25,469.559998,470.000000,456.079987,464.790009,448.354462,1469200
2021-01-26,462.649994,467.029999,461.880005,463.869995,447.466949,1074200
2021-01-27,455.540009,456.959991,441.510010,444.700012,428.974854,2185700
2021-01-28,455.529999,458.480011,447.029999,451.739990,435.765900,1694600
2021-01-29,449.899994,458.100006,447.630005,450.500000,434.569733,2206900
2021-02-01,455.850006,469.320007,453.589996,466.739990,450.235474,1702700
2021-02-02,469.760010,476.970001,468.000000,476.880005,460.016968,1614100
2021-02-03,476.929993,478.519989,464.589996,465.190002,448.740265,1785700
2021-02-04,460.000000,471.160004,457.480011,470.630005,453.987976,1524300
2021-02-05,474.329987,476.920013,465.359985,466.010010,449.531311,1248800
2021-02-08,468.750000,473.420013,465.579987,472.700012,455.984741,1761000
2021-02-09,472.000000,475.190002,468.619995,474.630005,457.846497,1275800
2021-02-10,477.209991,477.489990,465.489990,470.049988,453.428436,1458700
2021-02-11,473.690002,479.350006,469.190002,478.390015,461.473572,1712300
2021-02-12,478.380005,487.019989,474.890015,486.320007,469.123138,1355100
