Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,44.310001,44.369999,43.349998,43.959999,42.801823,24392500
2021-01-05,43.680000,44.070000,43.380001,43.980000,42.821293,17763700
2021-01-06,44.130001,44.869999,43.889999,44.400002,43.230232,21823100
2021-01-07,44.200001,45.110001,44.169998,44.959999,43.775475,18218800
2021-01-08,44.480000,45.410000,44.250000,45.060001,43.872845,20936300
2021-01-11,45.150002,45.950001,45.020000,45.360001,44.164940,25058200
2021-01-12,45.299999,45.930000,44.959999,45.790001,44.583611,20145000
2021-01-13,45.290001,45.970001,45.180000,45.360001,44.164940,19367300
2021-01-14,44.869999,45.599998,44.849998,45.150002,43.960472,22333500
2021-01-15,44.959999,45.650002,44.880001,45.430000,44.233093,30271700
2021-01-19,45.330002,45.630001,44.770000,45.189999,43.999416,28868800
2021-01-20,45.330002,45.500000,45.139999,45.340000,44.145466,16499400
2021-01-21,45.200001,45.240002,44.720001,45.110001,43.921528,17488400
2021-01-22,44.750000,44.889999,44.230000,44.770000,43.590481,14643400
2021-01-25,45.040001,45.169998,44.709999,45.029999,43.843632,16581300
2021-01-26,44.889999,45.349998,44.770000,45.259998,44.067566,13087800
2021-01-27,45.240002,46.459999,45.080002,45.700001,44.495979,29634500
2021-01-28,45.910000,46.270000,45.299999,45.340000,44.145466,21166000
2021-01-29,44.849998,45.369999,44.480000,44.580002,43.405491,22608100
2021-02-01,44.919998,45.630001,44.660000,45.400002,44.203884,16776900
2021-02-02,45.520000,45.939999,45.430000,45.830002,44.622555,16520900
2021-02-03,45.750000,46.160000,45.540001,45.770000,44.564137,13173600
2021-02-04,45.869999,47.320000,45.770000,47.250000,46.005146,22285700
2021-02-05,47.570000,48.340000,47.500000,48.080002,46.813278,25488600
2021-02-08,48.560001,49.340000,48.560001,48.939999,47.650616,25215400
2021-02-09,48.770000,48.830002,48.410000,48.500000,47.222214,24795000
2021-02-10,46.150002,47.410000,45.830002,47.240002,45.995411,44540900
2021-02-11,47.349998,47.910000,47.200001,47.580002,46.326450,18589900
2021-02-12,47.430000,47.689999,46.910000,47.290001,46.044090,15239800
2021-02-16,47.259998,47.259998,46.400002,46.509998,45.284641,18539000
2021-02-17,46.320000,46.400002,45.869999,46.250000,45.031490,13296300
2021-02-18,46.389999,46.400002,45.689999,46.340000,45.119122,16867500
2021-02-19,46.540001,46.610001,45.580002,45.680000,44.476509,25117700
2021-02-22,45.290001,45.680000,44.820000,45.430000,44.233093,21435800
2021-02-23,45.259998,45.779999,45.099998,45.509998,44.310986,19714900
2021-02-24,45.240002,45.799999,45.040001,45.740002,44.534924,17823600
2021-02-25,45.590000,46.240002,45.240002,45.520000,44.320721,21916700
2021-02-26,45.580002,45.779999,44.759998,44.869999,43.687847,22144900
2021-03-01,45.220001,46.220001,45.220001,45.919998,44.710178,17394100
2021-03-02,45.930000,46.080002,45.419998,45.520000,44.320721,14833000
2021-03-03,45.430000,45.529999,45.000000,45.130001,43.940998,16851100
2021-03-04,45.139999,45.470001,44.150002,44.560001,43.386013,24653500
2021-03-05,45.450001,46.740002,45.270000,46.250000,45.031490,33197600
2021-03-08,46.240002,48.400002,46.200001,47.509998,46.258293,34824500
2021-03-09,47.820000,48.369999,47.720001,47.889999,46.628281,26512700
2021-03-10,48.470001,48.790001,48.189999,48.290001,47.017742,19841500
2021-03-11,48.509998,49.080002,48.230000,48.799999,47.514305,21976600
2021-03-12,48.810001,48.990002,48.470001,48.820000,47.533779,15196500
2021-03-15,48.900002,49.439999,48.900002,49.410000,48.108231,15523600
2021-03-16,49.189999,49.740002,49.189999,49.669998,48.361382,17282300
2021-03-17,49.610001,49.610001,48.889999,49.419998,48.117970,18326900
2021-03-18,48.520000,49.570000,48.520000,48.799999,47.514305,18416900
2021-03-19,48.709999,49.220001,48.320000,48.980000,47.689564,65366800
2021-03-22,48.939999,50.380001,48.939999,50.299999,48.974789,28813900
2021-03-23,50.020000,50.680000,49.900002,50.009998,48.692429,28328200
2021-03-24,49.939999,50.450001,49.619999,49.650002,48.341915,26444700
2021-03-25,50.580002,51.400002,50.290001,50.509998,49.179253,34537700
2021-03-26,50.599998,52.639999,50.560001,52.570000,51.184982,31997000
2021-03-29,52.400002,52.939999,52.279999,52.520000,51.136303,25032800
2021-03-30,52.110001,52.290001,51.180000,51.770000,50.406059,22465100
2021-03-31,51.830002,52.049999,51.549999,51.709999,50.347637,22212400
2021-04-01,51.750000,52.070000,51.349998,51.980000,50.610527,17896200
2021-04-05,51.630001,52.919998,51.630001,52.410000,51.395031,19860900
2021-04-06,51.980000,52.220001,51.779999,52.029999,51.022392,15126100
2021-04-07,52.009998,52.139999,51.580002,51.770000,50.767426,15783600
2021-04-08,51.939999,52.000000,51.450001,51.910000,50.904713,15111300
2021-04-09,51.830002,52.150002,51.680000,52.090000,51.081230,13135800
2021-04-12,52.070000,52.160000,51.470001,51.570000,50.571301,16441700
